,GEOID
6470,39155
6473,39157
6476,39159
6479,39161
6482,39163
6485,39165
6488,39167
6491,39169
6494,39171
6497,39173
6500,39175
6506,40001
6509,40003
6512,40005
6515,40007
6518,40009
6521,40011
6524,40013
6527,40015
6530,40017
6533,40019
6536,40021
6539,40023
6542,40025
6545,40027
6548,40029
6551,40031
6554,40033
6557,40035
6560,40037
6563,40039
6566,40041
6569,40043
6572,40045
6575,40047
6578,40049
6581,40051
6584,40053
6587,40055
6590,40057
6593,40059
6596,40061
6599,40063
6602,40065
6605,40067
6608,40069
6611,40071
6614,40073
6617,40075
6620,40077
6623,40079
6626,40081
6629,40083
6632,40085
6635,40087
6638,40089
6641,40091
6644,40093
6647,40095
6650,40097
6653,40099
6656,40101
6659,40103
6662,40105
6665,40107
6668,40109
6671,40111
6674,40113
6677,40115
6680,40117
6683,40119
6686,40121
6689,40123
6692,40125
6695,40127
6698,40129
6701,40131
6704,40133
6707,40135
6710,40137
6713,40139
6716,40141
6719,40143
6722,40145
6725,40147
6728,40149
6731,40151
6734,40153
6740,41001
6743,41003
6746,41005
6749,41007
6752,41009
6755,41011
6758,41013
6761,41015
6764,41017
6767,41019
6770,41021
6773,41023
6776,41025
6779,41027
6782,41029
6785,41031
6788,41033
6791,41035
6794,41037
6797,41039
6800,41041
6803,41043
6806,41045
6809,41047
6812,41049
6815,41051
6818,41053
6821,41055
6824,41057
6827,41059
6830,41061
6833,41063
6836,41065
6839,41067
6842,41069
6845,41071
6851,42001
6854,42003
6857,42005
6860,42007
6863,42009
6866,42011
6869,42013
6872,42015
6875,42017
6878,42019
6881,42021
6884,42023
6887,42025
6890,42027
6893,42029
6896,42031
6899,42033
6902,42035
6905,42037
6908,42039
6911,42041
6914,42043
6917,42045
6920,42047
6923,42049
6926,42051
6929,42053
6932,42055
6935,42057
6938,42059
6941,42061
6944,42063
6947,42065
6950,42067
6953,42069
6956,42071
6959,42073
6962,42075
6965,42077
6968,42079
6971,42081
6974,42083
6977,42085
6980,42087
6983,42089
6986,42091
6989,42093
6992,42095
6995,42097
6998,42099
7001,42101
7004,42103
7007,42105
7010,42107
7013,42109
7016,42111
7019,42113
7022,42115
7025,42117
7028,42119
7031,42121
7034,42123
7037,42125
7040,42127
7043,42129
7046,42131
7049,42133
7055,44001
7058,44003
7061,44005
7064,44007
7067,44009
7073,45001
7076,45003
7079,45005
7082,45007
7085,45009
7088,45011
7091,45013
7094,45015
7097,45017
7100,45019
7103,45021
7106,45023
7109,45025
7112,45027
7115,45029
7118,45031
7121,45033
7124,45035
7127,45037
7130,45039
7133,45041
7136,45043
7139,45045
7142,45047
7145,45049
7148,45051
7151,45053
7154,45055
7157,45057
7160,45059
7163,45061
7166,45063
7169,45065
7172,45067
7175,45069
7178,45071
7181,45073
7184,45075
7187,45077
7190,45079
7193,45081
7196,45083
7199,45085
7202,45087
7205,45089
7208,45091
7214,46003
7217,46005
7220,46007
