GEO,GEOID
16053,5
16055,5
16057,5
17019,5
17021,5
17023,5
17069,5
17073,5
17075,5
17077,5
17079,5
17081,5
17083,5
17085,5
17087,5
17089,5
17091,5
17093,5
17095,5
17097,5
17099,5
17101,5
17103,5
17105,5
17107,5
17109,5
17071,5
17067,5
17025,5
17065,5
17027,5
17029,5
17031,5
17033,5
28145,5
17037,5
17039,5
17041,5
17043,5
17045,5
17047,5
17049,5
17051,5
17053,5
17055,5
17057,5
17059,5
17061,5
17063,5
12107,5
12103,5
18097,5
5035,5
5017,5
5019,5
5021,5
5023,5
5025,5
5027,5
5029,5
5031,5
5033,5
5037,5
5059,5
5039,5
5041,5
5043,5
5045,5
5047,5
5049,5
5051,5
5053,5
5055,5
5015,5
5013,5
5011,5
5009,5
4001,5
4003,5
4005,5
4007,5
4009,5
4011,5
4012,5
4013,5
4015,5
4017,5
4019,5
4021,5
4023,5
4025,5
4027,5
5001,5
5003,5
5005,5
5007,5
5057,5
5061,5
2282,5
5129,5
5111,5
5113,5
5115,5
5117,5
5119,5
5121,5
5123,5
5125,5
5127,5
5131,5
5063,5
5133,5
5135,5
5137,5
5139,5
5141,5
5143,5
5145,5
5147,5
5149,5
5109,5
5107,5
5105,5
5103,5
5065,5
5067,5
5069,5
5071,5
5073,5
5075,5
5077,5
5079,5
5081,5
5083,5
5085,5
5087,5
5089,5
5091,5
5093,5
5095,5
5097,5
